中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
3.144.191.4,443,3.144.191.4,US,Columbus,中转,60 ms,138 Mbps,17715 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,359 Mbps,45977 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,10 ms,968 Mbps,123904 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,328 Mbps,42086 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,30 ms,1256 Mbps,160768 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,26 ms,832 Mbps,106496 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,15 ms,1136 Mbps,145408 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,52 ms,872 Mbps,111616 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,162 ms,0 Mbps,44 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,57 ms,649 Mbps,83148 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,24 ms,199 Mbps,25497 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,21 ms,1120 Mbps,143360 kB/s
35.197.23.75,443,35.233.216.70,US,Seattle,隧道,22 ms,160 Mbps,20582 kB/s
35.230.79.26,443,35.233.216.70,US,Seattle,隧道,30 ms,150 Mbps,19251 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,565 Mbps,72396 kB/s
129.159.37.229,443,129.159.37.229,US,San Jose,中转,42 ms,78 Mbps,10035 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,70 ms,606 Mbps,77619 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,132 Mbps,16896 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,95 ms,136 Mbps,17408 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,63 ms,257 Mbps,32972 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,18 ms,42 Mbps,5443 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,154 ms,41 Mbps,5285 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,49 ms,386 Mbps,49459 kB/s
138.3.254.39,443,138.3.254.39,,Frankfurt,中转,0 ms,100 Mbps,12902 kB/s
150.136.240.243,443,150.136.240.243,US,Newark,中转,76 ms,115 Mbps,14745 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,65 ms,292 Mbps,37478 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,106 ms,29 Mbps,3783 kB/s
47.89.182.61,443,47.251.149.55,US,San Jose,隧道,115 ms,3 Mbps,453 kB/s
132.145.152.194,443,132.145.152.194,US,Newark,中转,76 ms,91 Mbps,11673 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,154 ms,35 Mbps,4543 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,125 Mbps,16076 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:100,KR,Seoul,隧道,139 ms,124 Mbps,15872 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,159 ms,6 Mbps,827 kB/s
141.147.88.252,443,2a0b:21c0:100a:1b5:0:e1ea:b72c:39d5,DE,Frankfurt,隧道,154 ms,113 Mbps,14540 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,154 ms,0 Mbps,33 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,138 ms,133 Mbps,17100 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,136 ms,13 Mbps,1767 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,157 ms,105 Mbps,13516 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,152 ms,30 Mbps,3945 kB/s
141.147.161.162,443,2602:ffe4:407:20da:0:31c0:f63a:e768,SG,Singapore,隧道,194 ms,73 Mbps,9451 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,151 ms,23 Mbps,3016 kB/s
